codigo_clase,class_name,sector,phi_mass,phi_mass_noself,n_neighbors_pos
6511,Life insurance,Terciario,1.545879,0.545879,5
6512,Non-life insurance,Terciario,1.621137,0.621137,17
6520,Reinsurance,Terciario,1.129343,0.129343,3
6530,Pension funding,Terciario,1.013699,0.013699,5
6611,Administration of financial markets,Terciario,1.047377,0.047377,19
6612,Security and commodity contracts brokerage,Terciario,1.123424,0.123424,11
6614,"Advisory, management and operation services for virtual markets",Terciario,1.001032,0.001032,2
6619,Other activities auxiliary to financial service activities,Terciario,1.274678,0.274678,61
6621,Risk and damage evaluation,Terciario,1.216527,0.216527,32
6622,Activities of insurance agents and brokers,Terciario,1.295001,0.295001,44
6630,Fund management activities,Terciario,1.36686,0.36686,49
6810,Real estate activities with own or leased property,Terciario,1.902103,0.902103,242
6820,Real estate activities on a fee or contract basis,Terciario,2.358184,1.358184,341
6910,Legal activities,Terciario,1.573942,0.573942,182
6920,"Accounting, bookkeeping and auditing activities; tax consultancy",Terciario,1.817299,0.817299,226
7010,Activities of head offices,Terciario,1.496043,0.496043,183
7020,Management consultancy activities,Terciario,1.962239,0.962239,281
7110,Architectural and engineering activities and related technical consultancy,Terciario,2.020183,1.020183,274
7120,Technical testing and analysis,Terciario,1.460472,0.460472,90
7210,Research and experimental development on natural sciences and engineering,Terciario,1.484834,0.484834,111
7220,Research and experimental development on social sciences and humanities,Terciario,1.269276,0.269276,71
7310,Advertising,Terciario,1.835372,0.835372,225
7320,Market research and public opinion polling,Terciario,1.11889,0.11889,52
7410,Specialized design activities,Terciario,1.418405,0.418405,127
7420,Photographic activities,Terciario,1.283939,0.283939,95
7490,"Other professional, scientific and technical activities n.e.c.",Terciario,2.100421,1.100421,306
7500,Veterinary activities,Terciario,1.273612,0.273612,89
7710,Renting and leasing of motor vehicles,Terciario,1.208358,0.208358,85
7721,Renting and leasing of recreational and sports goods,Terciario,1.199332,0.199332,57
7722,Renting of video tapes and disks,Terciario,1.112146,0.112146,58
7729,Renting and leasing of other personal and household goods,Terciario,1.410944,0.410944,139
7730,"Renting and leasing of other machinery, equipment and tangible goods",Terciario,1.975371,0.975371,254
7740,"Leasing of intellectual property and similar products, except copyrighted works",Terciario,1.092972,0.092972,41
7810,Activities of employment placement agencies,Terciario,1.142199,0.142199,26
7820,Temporary employment agency activities,Terciario,1.109838,0.109838,48
7830,Other human resources provision,Terciario,1.011366,0.011366,12
7911,Travel agency activities,Terciario,1.66228,0.66228,90
7912,Tour operator activities,Terciario,1.590891,0.590891,90
7990,Other reservation service and related activities,Terciario,1.531444,0.531444,120
8010,Private security activities,Terciario,1.466574,0.466574,60
8020,Security systems service activities,Terciario,1.437388,0.437388,95
